1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.958,1.039,1.035,0.978,1.01,0.998,0.94,0.992,1.022,1.08,1.311,1.31,1.233,1.424,1.005,1.007,1,1.002,1.035,1.086,1.004,1.672,1.167,1.081,1.002,1.029,1.311,1.104,1.001,1.008,1.051,1.103,0.989,1.001,1.16,1.114,1.196,1.17,1.13,0.993,0.96,1,1,1.022,1.024,1.043,1.002,1,1.018,1.003,1.007,1.056,1.082,1.062,1.021,0.982,1.007,1.031,1.058,1.001,1.042,1.004,1.024,1,1,1.002,1.009,1.008,1.009,1,1.002,1.003,1.062,1.103,1.171,1.374,1.096,1.017,1.016,1.106,1,1.02,1.093,0.999,1.28,1.046,1.294,1.019,1.438,1.291,1.21,1.057,1.36,1.184,1.008,1.153,1.065,1.167,1.258,1.003,1.773,1.111,1,0.975,1,1.011,1.027,1.172,1.241,1.049,1.015,1.167,1.001,1.066,0.969,1.006,1.022,1.279,2.29,1.035,1,1.016,1.013,1.058,1.127,1.004,1.046,1.176,1.111,1.026,1.001,1.006,1.078,1.024,1.072,1.078,1.296,1.002,1.051,1.037,1.04,1.093,1.681,1.016,1,1.129,1.01,1.046,1.06,1.018,1.001,1.026,1.11,1.092,1.057,1.188,1.05,1.041,1.042,1.077,1,1.058,1.013,0.995,2.18,1.022,1.012,1.048,1.022,1.006,1.01,1.001,1.277,1.048,1.044,1.009,1.416,1.001,1.042,1.117,1.109,1.065,1.096,1.126,1.079,1.383,1.207,1.067,1,1.091,1.122,1.064,1.817,1.589,1.1,1.188,1.03,1.057,1.032,1.511,1.099,1.217,1.027,1.053,1.079,1.043,1.017,1.03,1.267,1.347,1.116,1.264,1.012,1.172,0.898,1.124,1.036,1.058,1.707,1,1.067,1.15,1.199,1.097,1,0.969,1.235,1.02,1.831,0.993,1.233,1.035,1.232,1.533,1.085,1.003,1.006,1.03,1.38,1.389
0.97114,1.01163,0.95153,0.96084,1.00398,0.99178,0.92653,1.0791,1.18237,1.35927,1.62457,1.69594,1.31804,1.75657,1.17173,1.28527,2.29406,1.34229,4.27271,1.24386,1.59778,8.35843,1.2148,1.21543,1.56049,1.29141,2.65959,1.98957,1.04671,1.04933,1.19963,1.87696,1.08729,1.57814,2.07884,1.38265,1.26706,6.12441,1.27712,1.09708,0.91433,1.05733,1.02376,0.99963,1.52376,1.05212,1.0542,1.02814,1.21657,1.17527,1.14284,1.23794,1.0949,1.04459,1.01484,1.14196,1.11304,1.06014,1.08541,1.08545,1.04751,1.08961,0.98067,1.13761,1.014,2.19627,1.08371,1.35955,0.99959,1.00159,1.06614,1.8619,1.14678,1.18627,1.29806,1.66139,1.13702,1.1182,1.13284,1.47902,1.08486,1.12731,1.33651,1.14129,1.32045,1.083,1.56882,1.04,1.616,1.80086,1.24576,1.08671,1.40033,1.26537,1.01339,1.19584,1.53247,1.27718,1.31347,1.22029,2.34212,1.201,1.11778,1.26429,1.51861,1.60682,1.11092,1.60667,1.30096,1.1229,1.89545,1.19327,1.09904,1.011,1.07455,1.13637,1.13092,1.62467,7.40453,3.18914,1.13737,1.45267,1.25555,1.22984,1.20673,1.08227,4.34822,1.88833,2.67078,1.6688,1.28418,1.55263,1.56806,1.25931,3.48704,1.54637,1.40994,2.19435,1.68241,1.71857,3.45686,3.00467,3.06763,1.68051,1.17178,14.1138,1.50139,3.49627,1.32661,1.23708,1.35543,1.9439,2.39616,1.7158,1.79253,3.18984,1.2099,1.18551,2.4852,7.22078,1.03245,1.37057,1.03,1.01822,2.37531,1.02578,1.13251,1.27396,1.48024,1.01122,1.08918,2.81424,1.84251,1.08118,1.22773,1.1621,1.58314,1.06041,1.08776,1.176,1.12604,1.07904,1.69249,1.90888,1.57488,1.50635,2.05496,1.84904,1.59186,1.30053,1.956,1.32578,3.18786,3.37061,2.0521,1.70182,1.06265,1.51496,2.186,25.41959,1.89543,1.439,1.074,1.362,1.9962,1.20929,1.45624,1.52714,10.60308,44.5152,2.59269,2.81929,1.04261,2.00486,1.117,1.267,1.36843,1.16486,2.52412,1.04596,1.11508,2.74904,2.59655,1.19876,44.916,1.041,2.70371,1.15259,2.34553,1.51959,3.84888,1.0572,5.44627,4.94398,2.64084,3.2479,1.0479,3.24935,2.61561,23.70802
1.05214,1.30702,1.07669,1.07259,1.06012,1.07141,1.04361,1.29376,1.4432,1.56041,2.02343,2.30918,1.4042,2.16731,1.15494,1.56182,8.03351,2.56743,13.44653,3.82086,3.18437,80.23533,1.60086,4.47145,6.49843,1.93788,6.74488,6.44449,1.48243,1.33365,1.74453,3.30345,1.295,1.96743,2.94459,1.75208,1.34204,10.56786,1.44949,1.22151,0.992,2.84284,1.09171,1.13257,1.78929,4.95747,1.04859,1.08202,1.59814,1.58976,1.82959,1.64516,1.21739,1.35257,1.05227,1.33394,1.28498,1.21559,1.69424,1.22378,1.10251,1.43404,1.02271,1.29561,1.02876,3.79992,2.0182,4.52398,1.05522,1.53437,1.21727,5.13296,1.32206,1.26153,1.41112,1.92369,1.179,1.21986,1.23451,2.25959,1.189,1.19331,1.60329,1.21296,1.34945,1.09998,1.94227,1.05012,2.94071,4.54029,1.33351,1.23412,1.68186,1.52273,1.0322,1.201,1.88708,1.36986,1.53494,2.01829,2.6682,1.34163,1.26516,1.71449,1.90349,3.48108,1.79186,3.67545,1.43086,1.47484,7.24657,1.25453,2.85763,7.20751,1.6582,1.77406,1.23435,1.91055,7.729,6.14714,1.57092,3.74867,2.0422,2.04273,1.26273,1.32124,5.003,2.62678,5.07188,4.6488,2.17435,2.54402,2.17004,1.93559,4.33192,3.09904,3.95053,3.23718,1.71102,2.05506,4.60043,4.1839,3.93092,2.3208,2.83222,14.33388,6.38055,10.39865,1.67141,3.10906,2.97998,3.97286,3.41176,5.26547,4.8701,8.89778,1.42782,1.58571,2.70561,14.36584,0.9998,1.72822,1.048,1.07645,2.85876,1.11616,1.29114,1.76304,2.85588,1.12312,1.40247,4.17224,3.93902,1.125,1.39884,1.38665,1.75157,1.18863,1.26502,1.35153,1.113,1.10612,3.79357,2.56237,2.41716,1.94494,3.41,3.01771,2.14863,2.72851,3.73959,4.10937,6.03114,9.55302,5.12231,21.72178,1.19522,1.91953,6.847,43.18518,14.00057,3.27029,1.595,2.746,3.45894,1.58222,4.99671,20.77629,20.93818,50.629,4.31533,4.92471,1.22833,4.21757,5.67,4.386,1.77443,1.56057,3.0218,1.13343,1.31155,5.26557,9.01022,3.1062,51.551,1.1,3.15173,1.75478,2.9209,4.66094,10.50955,1.59031,27.912,28.81384,17.09459,7.55612,2.0859,21.97306,6.61182,80.41522
1.17514,1.42353,1.20757,1.13553,1.1591,1.17333,1.15629,1.45667,1.65951,1.93561,2.65743,3.39949,1.65567,3.03612,1.34604,2.34516,9.81818,3.20243,80.4591,12.72571,4.98053,130.48971,2.09357,6.82549,8.41247,2.18163,14.32718,20.46471,2.50143,8.58527,2.20331,7.73537,1.68129,2.07829,3.56408,3.0751,1.41665,20.00235,1.68445,1.53522,1.17741,2.86308,1.43157,1.48639,1.99422,6.79647,1.31696,0.99392,1.81671,1.83812,2.80963,2.21963,1.29573,1.67524,1.22314,1.74343,1.40543,1.45273,2.15318,1.37871,1.18578,1.64682,1.10653,1.52788,1.36524,3.59418,4.64692,8.44553,1.10545,2.27092,1.78309,5.59461,1.46537,1.31306,1.75224,3.10527,1.2328,1.4999,1.38341,3.4238,1.28743,1.23898,1.90922,1.24906,1.38235,1.14247,2.36698,1.07618,3.45071,5.63143,1.48843,1.31696,1.92706,1.76614,1.09098,1.34578,2.18494,1.44037,1.71343,2.94702,3.388,2.06253,1.59057,2.09178,2.21651,6.11618,2.31735,5.05961,1.61535,1.76776,10.41876,1.32659,4.80088,7.66502,2.16135,2.51788,1.80835,2.43961,9.16382,9.99371,2.00804,9.23208,2.57496,3.03247,1.33465,1.53961,5.28755,7.86078,5.40035,4.891,3.27737,3.94898,2.49216,2.85439,4.46878,5.19302,8.67061,4.2758,2.37057,2.66886,5.70143,4.35131,5.24516,5.02396,7.07463,15.00167,17.03114,17.1419,2.08961,4.34602,3.134,12.44282,6.26737,9.29273,8.47765,12.39188,2.01361,2.48067,2.814,17.16145,1.01331,1.97957,1.06567,1.12767,3.37784,1.18924,1.41435,2.11933,3.99139,1.24653,1.74098,4.91543,5.43127,1.18455,1.57743,1.59643,1.93871,1.33484,1.48598,1.51571,1.14906,1.16012,4.12963,3.96376,3.37463,2.63598,5.70555,4.6718,2.77929,3.75765,4.63214,11.90506,12.05886,17.431,10.30041,48.23422,1.7702,2.48216,8.46,42.57182,25.875,6.89414,2.863,6.57,5.52937,2.42976,8.05235,33.71686,21.20078,57.71361,7.85827,24.72286,2.0191,7.3671,8.931,12.126,2.20629,2.00414,3.5021,1.27651,1.51537,5.80449,15.61547,24.84173,50.091,1.591,7.07045,2.78351,3.5919,7.21192,29.26053,2.57657,30.71569,49.4678,23.36763,10.63435,4.15235,29.4202,14.29859,88.66588
1.526,1.61453,1.73802,1.21708,1.32894,1.34384,1.21251,1.63678,2.12837,2.19776,4.25714,4.50167,2.12161,5.20361,1.41616,3.44947,13.48788,4.45529,116.72039,14.81514,6.98982,178.36822,2.4029,8.99702,14.0239,2.49453,99.9922,31.05651,5.44286,15.93584,2.71229,10.5358,2.43314,2.21843,5.36335,5.79818,1.67269,25.97471,1.96796,3.06514,1.34788,2.88343,1.73743,1.79145,2.26396,8.03482,1.40557,1.46433,2.301,2.01806,3.4359,2.9302,1.48676,2.12592,1.34451,2.39692,1.52598,1.53898,2.30329,1.7601,1.28569,1.84471,1.17604,1.89173,1.626,4.80253,7.17435,8.994,1.48386,2.96447,2.64798,6.47896,1.58704,1.41108,2.4658,5.93139,1.30704,1.77702,1.58371,5.63659,1.48357,1.26792,2.24745,1.272,1.39859,1.17502,3.31782,1.11,3.70571,7.14143,1.68063,1.47137,2.03308,1.97255,1.16865,1.59465,2.52267,1.55196,1.92757,3.81347,4.26524,2.58157,1.99382,2.56714,2.66686,7.98094,2.83371,6.11496,1.80659,2.09559,12.0339,1.39612,6.58518,7.57024,2.87143,3.01849,2.41353,3.31839,9.455,11.99757,2.33716,11.45943,3.21547,4.28249,1.40667,1.83431,5.36535,12.80994,5.756,5.09514,4.04749,5.04116,2.72688,3.5719,5.09116,10.73139,11.34553,4.81963,3.47,3.91827,7.67986,4.57298,8.37194,8.46084,10.19545,14.05245,29.30012,20.74755,2.61249,5.89245,3.315,23.17159,7.07969,10.04353,13.458,14.246,2.57533,3.90494,2.90012,19.30961,1.06382,2.1582,1.08735,1.16735,3.87659,1.2831,1.73155,2.58559,5.29222,1.44659,2.05702,5.67506,6.33798,1.29529,1.7802,1.79767,2.177,1.57494,1.71357,1.70906,1.162,1.23741,4.09635,4.91482,4.26786,3.6118,8.35422,6.7579,7.43096,4.56418,5.29061,14.90678,20.488,35.01488,16.75876,49.553,2.75896,3.20592,9.476,42.92241,26.46029,25.17414,5.187,33.63,6.48486,3.65596,8.77545,37.169,21.42753,71.88292,12.16722,35.765,2.70802,10.23565,12.821,36.213,2.83957,2.47486,4.25676,1.41637,1.75988,6.24249,20.76218,37.40635,49.854,3.327,44.10573,3.95384,4.57576,10.13906,54.24122,3.63688,31.47312,79.75259,27.36439,13.82667,6.73314,32.62904,53.64643,99.13631
2.19857,1.81033,2.51149,1.39604,1.77851,1.56876,1.25614,2.36839,3.76461,2.66537,10.25071,7.5069,3.25304,10.77576,1.46653,5.5691,15.55614,4.26786,407.39951,20.11329,10.48129,324.53359,3.326,11.60545,23.45027,2.75682,153.03584,39.2639,8.72543,51.69308,3.60912,14.011,4.711,2.29429,7.33569,7.94584,1.9442,40.23596,2.32022,3.92061,1.70216,2.925,2.05014,2.11929,2.60506,8.88806,1.54143,1.86639,2.58729,2.1962,4.68092,5.22598,1.75118,2.70063,1.44059,3.78504,1.68896,1.62973,2.48808,2.10373,1.37696,2.09969,1.26347,2.19931,2.07361,4.41224,19.77333,12.05122,2.31471,4.85298,3.38408,7.25884,1.66559,1.48455,4.12688,9.06567,1.44243,2.05118,1.69959,6.36265,1.59686,1.3219,2.53904,1.2942,1.43624,1.19161,4.48102,1.18227,4.06386,8.92,2.08198,1.66157,2.22831,2.19394,1.30969,1.9189,2.8399,1.69259,2.12953,4.61939,4.90371,3.08335,2.33402,3.10369,3.41869,9.61327,3.6181,8.97841,2.09029,2.53933,12.512,1.51465,7.7681,8.12343,3.49851,3.57433,2.96314,4.06224,9.939,13.533,3.02251,12.69463,4.14802,6.21437,1.53427,2.18643,5.429,21.37447,5.86543,5.2411,5.18833,6.62694,2.98018,4.1868,5.32276,12.60229,11.26343,5.02739,6.11378,5.68394,10.35814,4.764,13.26447,9.64563,12.22778,14.19094,38.92251,21.214,3.44563,7.40149,3.44343,24.81249,8.40841,10.88627,18.32204,15.18684,3.28514,5.55141,3.003,20.13502,1.08224,2.36967,1.10906,1.23524,4.55227,1.36682,2.06263,3.05673,6.92273,1.62231,2.38573,7.67065,7.14131,1.47973,1.94463,1.98867,2.53986,1.96318,2.17049,1.95355,1.21951,1.35561,4.35394,6.0568,4.98408,4.73037,12.57412,8.85982,11.54302,5.32867,5.54829,16.32876,23.94157,44.56561,23.60851,49.553,3.68673,4.06843,10.11,44.404,25.19314,30.02714,8.345,47.427,7.34529,4.67657,9.55961,40.52871,24.82769,75.89751,18.66433,41.75286,3.26133,12.77004,12.861,46.079,3.40871,3.065,9.89816,1.68335,2.02055,6.336,23.93776,44.36522,54.229,5.167,54.13798,5.38065,5.60253,11.36492,60.40033,5.20918,33.31518,177.1581,29.39,16.08153,9.46139,35.73388,95.02214,98.72
2.58343,1.96453,4.97067,2.08388,2.12143,1.86218,1.31896,4.35241,6.23963,3.52994,22.47729,19.54316,4.91961,22.37386,1.59506,9.53845,20.80347,5.23586,493.5702,22.129,13.59282,509.44886,4.13486,12.16353,28.37739,2.93149,505.66996,47.7751,12.82643,115.59012,4.349,16.73884,5.458,2.42929,24.03349,9.75761,2.19655,56.93269,2.70194,4.86255,3.13686,3.208,2.28588,2.61386,3.09857,10.23337,1.67092,2.07267,3.72257,2.60784,6.73271,8.43604,2.22812,3.82457,1.59857,5.12955,1.83235,1.73794,2.96569,2.63141,1.46561,2.35863,1.6208,2.78173,3.27865,4.47671,29.56437,12.96308,3.39667,7.80961,4.25647,7.419,1.92218,1.63959,7.04388,11.0491,1.59878,2.61398,1.81451,7.17843,1.76329,1.42284,2.70384,1.30788,1.49373,1.27894,5.46867,1.24473,4.376,9.98614,2.42945,1.82692,2.368,2.41037,1.64986,2.4921,3.17814,1.87484,2.34284,5.2692,5.31063,3.5629,2.70682,3.5988,4.47259,11.44741,4.3789,10.16755,2.4889,3.08859,13.264,1.62557,9.07051,8.53435,4.1409,4.26602,3.40418,4.71394,10.197,20.12071,4.18612,14.81,4.9211,9.11169,1.73592,2.64569,5.589,23.94753,6.41592,5.26041,6.59735,8.16665,3.18284,4.70914,5.50131,14.006,11.47229,6.14961,8.5118,6.94951,13.66357,5.00763,16.43504,10.80404,14.84259,14.77408,42.90188,22.77392,4.44267,9.64294,3.528,27.52988,8.69249,11.35339,23.58571,15.79933,4.04351,7.29278,3.044,21.32422,1.11714,2.68016,1.12902,1.32402,5.35145,1.49182,2.44439,3.54702,8.33545,1.97708,2.74296,9.2138,8.10265,1.6982,2.10486,2.19186,3.10643,2.32012,2.61302,2.10053,1.28261,1.48661,4.60978,7.34253,5.51331,5.88402,14.74424,11.68067,17.18047,6.10447,5.70794,17.18892,25.043,51.05439,30.97743,50.20449,4.73376,5.05318,10.443,45.76598,25.69971,33.92557,12.593,54.48,8.13239,5.73435,10.24643,44.19271,25.39902,80.94212,26.36214,43.84686,4.51133,15.34808,13.709,53.667,4.297,3.584,11.45927,1.88504,2.28047,6.404,25.73784,47.74,59.145,7.811,57.76441,6.67165,7.20767,12.096,64.448,7.52202,34.80467,191.82198,30.2208,18.89539,12.04427,38.249,112.29151,101.89484
2.586,1.98457,7.18671,2.61929,2.294,2.22814,1.37486,5.473,11.79371,5.26971,40.009,27.59457,6.93271,35.36086,1.81371,19.34357,22.672,6.568,566.82286,23.482,71.28643,729.59986,4.66586,13.25971,31.823,3.159,652.917,56.02886,16.765,199.46057,5.21529,17.836,9.278,2.603,44.45657,11.91329,2.46971,84.305,3.32186,5.259,4.03514,3.541,2.801,3.20957,3.665,11.47157,1.876,2.36871,5.976,3.10443,10.20243,9.76657,3.11071,5.82257,1.853,7.24971,2.31386,1.99886,3.83086,4.20557,1.65114,2.71971,2.08657,4.026,4.85443,4.44029,36.76871,13.32743,4.87443,11.18547,5.29643,8.29557,2.05271,1.70671,13.53743,12.218,1.74571,3.17043,2.11086,10.59657,1.922,1.49343,2.91729,1.35486,1.59786,1.45643,6.29214,1.33757,4.613,10.952,2.72557,2.00329,2.53143,2.61214,2.28543,3.28257,3.43071,2.02014,2.55829,6.08657,5.76486,3.997,3.046,4.03214,5.27286,12.77614,5.07986,11.08257,2.83857,3.58029,13.70571,1.76714,9.72929,8.755,4.99057,5.41214,3.918,5.31971,10.45,21.524,5.667,16.51043,5.81486,15.06143,2.064,3.31571,5.615,24.93386,6.77286,5.36086,8.38043,9.46329,3.49343,5.29786,5.63514,14.56071,12.061,7.03571,10.75514,7.73143,16.147,5.216,18.74114,11.66743,16.005,14.91529,49.90429,24.20086,5.98486,12.03029,3.543,29.17957,9.60971,11.40971,27.95986,16.84586,4.77543,8.85957,3.087,21.88671,1.15814,3.09771,1.159,1.39086,5.905,1.61229,3.04143,4.08343,9.68271,2.419,3.12371,9.96114,9.08486,1.939,2.249,2.37543,3.736,2.63671,3.073,2.21514,1.39814,1.64186,4.638,8.25543,6.19629,7.21514,16.85771,16.041,20.18357,6.88614,5.899,17.79643,25.774,57.144,37.80214,51.10929,5.61986,6.09457,10.587,47.05371,25.151,36.971,19.701,57.485,9.26257,7.12714,10.325,46.233,26.478,84.223,35.15343,46.062,5.34329,17.687,13.381,58.586,5.087,4.079,12.76643,2.06029,2.54371,6.474,27.10043,50.81257,60.194,26.777,59.894,8.23771,9.02471,12.46829,65.812,10.11014,35.562,200.80957,31.37886,21.59457,15.91543,39.93957,122.33871,105.27271
3.51271,2.07061,8.12947,2.78371,2.50204,2.69027,1.42902,7.67124,14.64659,6.73955,53.59114,32.90284,8.87847,56.61886,2.13273,28.10086,23.05929,7.681,599.7028,25.90243,88.39394,901.74194,5.56382,14.60943,36.98576,3.41098,724.95494,61.3978,19.59614,381.30676,5.752,20.49161,10.40629,2.891,58.69551,14.34065,2.88571,110.80167,4.41753,6.5898,5.97182,4.13582,4.67639,4.41651,4.50035,12.78249,1.945,2.8399,6.439,3.53504,13.85547,11.57543,4.28314,9.09684,2.2771,8.32612,2.98441,2.4058,8.34706,4.98686,1.99582,3.26167,2.48518,4.59294,6.04012,5.36537,40.40639,14.612,6.71284,19.20251,6.82306,8.29765,2.45165,1.86316,17.70773,15.9419,1.92537,3.91337,2.93096,11.94112,2.16086,1.60129,3.09957,1.407,1.71678,1.66996,7.30222,1.46522,5.09514,11.716,2.98131,2.19645,2.65316,2.81488,3.30749,4.06996,3.70084,2.16943,2.75284,6.94673,6.291,4.48476,3.42284,4.50463,6.15957,12.69094,5.96192,11.549,3.32178,4.07712,14.02278,1.88231,9.6441,9.0479,5.85427,6.85671,4.23771,5.78592,10.64043,22.60271,9.16218,18.82529,6.85453,18.54806,2.55192,4.1722,5.68192,25.943,7.03778,5.52924,9.94269,10.01792,3.86245,5.94714,5.68941,15.33569,12.48304,7.532,11.71127,8.4639,18.55357,5.30894,19.68969,12.21529,17.92537,15.1948,55.23165,24.73896,7.55722,14.70898,3.566,29.83886,10.26345,11.711,28.634,18.07506,5.52316,10.44947,3.04453,23.13457,1.18941,3.4722,1.1888,1.45669,6.24761,1.73531,3.63967,4.61276,11.08816,2.81578,3.45951,11.62976,9.85796,2.23661,2.46155,2.58282,4.265,2.98716,3.47816,2.36155,1.56714,1.79547,4.80804,9.50794,6.7968,11.99141,18.09876,19.86192,21.47416,7.70396,6.10449,18.4789,26.347,62.01065,48.31892,51.31116,6.42769,7.24843,10.703,47.3,25.63,39.00857,28.17,58.949,10.49067,8.52759,10.67518,47.19814,28.15902,87.253,44.01227,48.17,6.56876,19.98541,13.687,61.653,5.857,8.48629,13.49027,2.30745,2.83231,6.442,27.43031,53.158,62.16,46.822,60.725,10.00049,11.37643,12.72139,68.94514,13.38859,35.93553,205.82824,31.707,24.43786,20.81792,40.20292,129.83965,105.178
4.05729,2.20051,9.31257,3.35069,2.97631,3.53635,1.61773,10.78065,17.98941,7.95818,65.106,40.747,10.57812,112.96769,2.63886,30.89622,25.70196,9.48929,621.28288,28.148,105.22335,1119.93382,6.35906,15.68716,41.45598,3.75139,757.7632,66.02704,94.73014,544.38657,6.15173,20.73665,11.01443,2.96057,74.13014,15.33061,3.37724,190.21914,5.54014,7.73696,6.52357,4.69808,6.3419,5.26067,5.43484,14.7201,2.1271,3.26486,7.03086,6.22008,42.04541,12.96933,6.05965,13.39524,2.8352,10.776,3.404,3.02229,11.18257,5.62637,2.27745,4.40106,3.09086,4.81857,6.76565,6.00161,42.72794,15.79396,8.7438,25.75341,7.31239,8.85898,2.69347,2.03273,20.94912,19.55388,2.14296,4.93459,3.31706,12.43849,2.26786,1.76682,3.24922,1.48369,1.86218,1.95614,8.23167,1.58888,5.37371,12.27514,3.24778,2.3242,2.80318,3.01343,4.3929,5.18506,4.03137,2.33576,2.97369,7.38278,6.62939,4.87898,3.67949,4.95669,6.83529,12.77247,10.48467,11.78704,3.8289,4.6082,14.21606,2.02447,9.601,9.243,6.69941,8.15053,4.51451,6.31104,10.68,23.68943,11.65639,19.523,8.19122,20.32361,3.06371,5.05771,5.69041,26.91673,7.60747,5.61939,11.36569,10.291,4.15214,6.60133,5.816,16.05894,12.58016,7.719,13.06947,9.47769,20.851,5.39098,20.91424,13.0472,18.978,15.294,56.185,25.457,9.14141,17.48731,3.62035,30.389,10.79124,11.79,28.692,18.53151,6.2638,12.09829,3.04522,23.573,1.237,3.81988,1.216,1.53204,6.5621,1.86398,4.21343,5.13233,13.41959,3.22614,3.83478,12.4499,10.52759,2.61127,2.58733,2.75396,4.97586,3.46045,3.87363,2.53194,1.80647,1.94565,4.8828,10.51761,7.21629,14.36298,19.64165,24.04569,22.6561,8.40635,6.29055,18.87,25.81829,65.74324,102.55831,51.816,6.98378,8.54018,10.867,47.22506,26.831,40.65071,37.144,61.593,11.77937,10.11449,11.11694,48.681,33.00182,91.6672,99.68276,49.29,7.86902,27.14061,14.027,64.183,6.40943,10.02514,13.70476,2.69076,3.09773,6.473,27.522,55.33741,65.191,67.253,62.11,12.23516,14.33441,13.33361,70.0978,18.13559,37.16084,208.675,32.029,27.02853,24.87422,41.12086,133.866,104.31043
